accuracy,precision,recall,f1,roc_auc,model,split
0.8792383497578086,0.8633245382585752,0.8264713311442283,0.8444960640082592,0.9318264966301459,Logistic Regression,validation
0.9018540170369133,0.9000984692507386,0.846594257809211,0.8725269003818119,0.9411085376316308,Random Forest,validation
0.8845498580257224,0.84921622294103,0.8620863854508715,0.8556029079969917,0.9503100120831874,XGBoost,validation
0.8017370970435944,0.7023290656496868,0.868316915045887,0.7765520876473024,0.9319975889389295,LightGBM,validation
0.8261659600242277,0.815640512061308,0.9255855321672102,0.8671419313026572,0.9246050314510338,XGBoost,test
