machine_id,total_rows,slowdown_now_positive_rows,valid_5min_rows,invalid_5min_rows,positive_5min_rows,negative_5min_rows,positive_5min_percentage,valid_10min_rows,invalid_10min_rows,positive_10min_rows,negative_10min_rows,positive_10min_percentage
0890dcc046c079acc4de4202,35713,2773,33858,1855,3727,30131,11.0077,32077,3636,4630,27447,14.434
7232bc533c21ce408d45d473,26191,3832,17491,8700,6681,10810,38.1968,12550,13641,6787,5763,54.0797
a0f8c86097e55fbfa506d057,66528,15444,63310,3218,27328,35982,43.1654,60621,5907,30928,29693,51.0186
d588df123ac0d0ce20b112ac,25089,15297,18357,6732,12731,5626,69.3523,15471,9618,11313,4158,73.1239
